GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US12207,12207,ZCTA5 12207,12396,3002,25962,8081,29583,12953,12005,2027
8600000US12208,12208,ZCTA5 12208,60430,3312,100053,15229,114032,6393,40260,5314
8600000US12209,12209,ZCTA5 12209,49853,8947,60133,4731,83750,22826,36575,6826
8600000US12210,12210,ZCTA5 12210,46712,5626,42065,22165,111788,31848,48769,5267
8600000US12211,12211,ZCTA5 12211,100357,11748,122222,10892,131108,13641,49821,13965
8600000US12222,12222,ZCTA5 12222,-,**,-,**,-,**,-,**
8600000US12302,12302,ZCTA5 12302,74199,3996,93046,5252,101921,5757,41273,4012
8600000US12303,12303,ZCTA5 12303,61916,2444,80323,3427,94777,7891,35034,4413
8600000US12304,12304,ZCTA5 12304,48750,2746,63070,5767,75169,10453,34074,5650
8600000US12305,12305,ZCTA5 12305,30625,6610,63333,13881,80833,32768,26979,7294
8600000US12306,12306,ZCTA5 12306,62977,3576,75648,4745,87552,4031,42877,4762
8600000US12307,12307,ZCTA5 12307,22394,5234,38828,14769,55598,19012,13906,3404
8600000US12308,12308,ZCTA5 12308,48337,4786,64744,6507,78355,6851,33694,7148
8600000US12309,12309,ZCTA5 12309,101594,5272,116444,4040,124484,8055,53598,6876
8600000US12401,12401,ZCTA5 12401,51016,3089,63776,4256,78692,4466,32318,4005
8600000US12404,12404,ZCTA5 12404,60625,30637,76324,52216,117298,48223,44750,28838
8600000US12405,12405,ZCTA5 12405,48750,11849,59063,34144,68500,39848,-,**
8600000US12406,12406,ZCTA5 12406,42153,36662,78145,28338,79556,35337,15083,13703
8600000US12407,12407,ZCTA5 12407,37031,18161,48750,25699,53438,29860,35568,9699
8600000US12409,12409,ZCTA5 12409,88906,49884,135457,20776,135701,11648,58269,32551
